------------------------------------------------------------------------------------------------- Source: sample1.mfc --------------------------------------------------------------------------------------------------
  Sample Bytes:  104      Sample Kind:   MFCC_D_Z_0
  Num Comps:     26       Sample Period: 10000.0 us
  Num Samples:   1032     File Format:   HTK
------------------------------------------------------------------------------------------------ Observation Structure -------------------------------------------------------------------------------------------------
x:      MFCC-1  MFCC-2  MFCC-3  MFCC-4  MFCC-5  MFCC-6  MFCC-7  MFCC-8  MFCC-9 MFCC-10 MFCC-11 MFCC-12      C0   Del-1   Del-2   Del-3   Del-4   Del-5   Del-6   Del-7   Del-8   Del-9  Del-10  Del-11  Del-12   DelC0
--------------------------------------------------------------------------------------------------- Samples: 0->200 ----------------------------------------------------------------------------------------------------
33:     21.920  -2.436  -8.731  -0.621  -2.987  -5.413   8.008  -5.127 -21.006  -2.234  15.470   3.926  16.955  -0.424  -0.275   0.881   1.586   0.204   0.286  -0.657  -2.075  -1.267  -1.860   1.971   0.262  -0.165
34:     21.720  -3.025  -8.748   1.763   0.843  -5.679   2.588  -8.077 -18.316  -2.421  13.291   6.357  16.438  -0.800   0.373   1.258  -0.215   1.294   0.206  -1.345  -2.068   0.075  -0.888   1.463   0.588  -0.086
35:     19.880  -1.609  -7.027   0.786   3.122  -5.690   1.710 -12.193 -17.684  -4.782  16.850   7.154  16.703  -0.795   0.562   1.139  -0.928   1.526   0.503  -2.961  -0.281   1.437  -0.462   0.315  -0.044  -0.022
36:     19.130  -0.509  -5.788  -2.055   3.600  -4.878   0.127 -12.148 -15.568  -3.480  16.106   5.952  16.870  -0.632   0.515   1.525  -1.392  -0.219  -0.095  -3.263   2.196   2.583  -0.400   0.334  -1.562   0.050
37:     19.238  -0.886  -4.518  -3.352   3.263  -3.301  -5.564  -4.495 -15.195  -4.013  15.638   3.908  16.627  -0.090   0.157   1.366  -0.583  -1.374  -1.620  -3.888   4.101   3.871  -0.499   0.136  -1.742  -0.020
38:     18.883  -0.809  -2.378  -3.130  -0.321  -7.346 -10.090  -0.943  -6.644  -4.807  15.570   0.172  16.726  -0.147   0.204   1.266   0.299  -1.129  -3.406  -3.291   3.562   5.056  -1.677   0.944  -1.680  -0.023
39:     19.555  -0.676  -1.902  -1.590  -1.789 -12.555 -12.620   2.711  -2.791  -6.615  17.799   1.332  16.676  -0.377   0.781   1.251   1.061  -1.199  -5.084  -1.064   1.587   5.334  -2.421   1.487  -1.155  -0.109
40:     18.235   0.406  -0.766  -1.440   0.483 -17.281 -12.800   2.061   3.508 -10.564  19.744  -1.162  16.728  -0.388   1.122   1.183   1.050  -1.269  -4.805   0.364   1.509   3.559  -2.565   0.410  -0.143  -0.259
41:     17.675   2.409   0.933   1.107  -3.132 -23.753  -9.528   1.936   6.400 -13.238  20.987  -1.202  16.081  -0.288   1.049   1.241   0.818  -1.520  -4.327   0.622   1.907   2.190  -1.494  -1.103   0.010  -0.351
42:     17.885   3.257   2.121   0.770  -5.996 -25.770  -9.817   6.987   6.555 -14.322  16.028   0.723  15.727   0.174   0.691   1.262   0.584  -2.441  -3.080  -0.417   3.672   0.326   0.194  -2.422  -0.175  -0.470
43:     18.289   3.146   2.861   1.394  -6.148 -29.945 -11.000   9.782   6.634 -12.208  14.144   0.441  15.419   0.189   0.265   1.826  -0.318  -2.134  -1.128  -2.348   4.256   0.250   1.123  -2.686  -1.363  -0.405
44:     18.798   3.491   4.580   1.336 -10.215 -29.587 -14.152  16.500   5.019 -10.109  11.053  -2.859  14.707   0.023   0.203   1.935  -0.681  -1.662   0.882  -3.007   2.772   1.152   0.696  -1.879  -1.792  -0.364
